Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
521,Rúben Vinagre,pt POR,DFMF,Everton,24-031,1999,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b937e490
522,Carlos Vinícius,br BRA,FW,Fulham,28-046,1995,26,10,1034,11.5,4,2,6,4,0,0,3,0,2.4,2.4,0.7,3.1,6,13,41,0.35,0.17,0.52,0.35,0.52,0.21,0.06,0.27,0.21,0.27,Matches,8b529245
523,Theo Walcott,eng ENG,FWMF,Southampton,34-055,1989,17,10,902,10.0,2,1,3,2,0,0,1,0,2.0,2.0,1.3,3.3,15,10,55,0.20,0.10,0.30,0.20,0.30,0.20,0.13,0.33,0.20,0.33,Matches,1ecb65be
524,Kyle Walker,eng ENG,DF,Manchester City,32-347,1990,23,18,1598,17.8,0,0,0,0,0,0,3,0,0.4,0.4,0.2,0.5,38,138,65,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,86dd77d1
525,Kyle Walker-Peters,eng ENG,DF,Southampton,26-027,1997,28,27,2380,26.4,1,0,1,1,0,0,4,0,1.0,1.0,1.2,2.2,90,90,110,0.04,0.00,0.04,0.04,0.04,0.04,0.05,0.08,0.04,0.08,Matches,984a5a64
526,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-165,1997,16,13,1165,12.9,0,0,0,0,0,0,2,0,1.0,1.0,1.0,2.0,38,48,51,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15,Matches,9e525177
527,Danny Ward,wls WAL,GK,Leicester City,29-322,1993,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d3ce0e89
528,Joel Ward,eng ENG,DF,Crystal Palace,33-193,1989,25,21,1986,22.1,0,0,0,0,0,0,6,0,0.1,0.1,0.2,0.4,15,83,37,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,8a7ff278
529,James Ward-Prowse,eng ENG,MF,Southampton,28-190,1994,35,35,3105,34.5,8,3,11,6,2,4,5,0,5.6,2.3,6.0,8.3,18,183,53,0.23,0.09,0.32,0.17,0.26,0.16,0.17,0.33,0.07,0.24,Matches,3515d404
530,Ollie Watkins,eng ENG,FW,Aston Villa,27-131,1995,34,33,2862,31.8,14,6,20,13,1,1,3,0,14.2,13.4,3.5,16.9,48,35,181,0.44,0.19,0.63,0.41,0.60,0.45,0.11,0.55,0.42,0.53,Matches,aed3a70f
531,Adam Webster,eng ENG,DF,Brighton,28-126,1995,26,22,1921,21.3,0,0,0,0,0,0,2,0,1.8,1.8,0.2,1.9,19,117,9,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches,c40b6180
